site,plot,trmt,vegCover11,waterDepth11,Typha11,potber11,utrmin11,utrvul11,vegCover12,waterDepth12,Typha12,potber12,utrmin12,utrvul12,vegCover13,waterDepth13,Typha13,potber13,utrmin13,utrvul13
Cedarville,EA12,Above,20.25,25.25,14.5,0,0,0.125,83,13.25,0,0.125,0.375,0.875,42,18.5,8.75,0,0.375,10
Cedarville,EA3,Above,54.5,23.5,50.75,0,3,5.5,56.25,5,6.25,0,0.125,0.125,38.75,9.5,13,0.5,0.375,0.125
Cedarville,EA5,Above,57.5,24.75,57,0,0,19.25,46.5,10,10.75,0.5,0.625,1.75,26.25,13.5,17,0,0.125,0
Cedarville,EB10,Below,67,25.75,62.75,0,0,8.75,0.75,19.5,0,0,0.125,0.5,11.625,30.25,2.125,0,0,0.5
Cedarville,EB4,Below,70.75,36.5,68.25,0,0,5,56.25,18.75,1,9.25,0.5,4.5,61.25,34,3.75,0,0.25,5
Cedarville,EB7,Below,52,27.5,47,0,0,16.75,23.75,17.25,0.375,0,0.25,4,45,27.25,2.5,0,0.375,13.75
Cedarville,EC1,Control,33.75,22.75,27,0,0.25,2,47.5,3.75,26.5,0,0,0,41.25,7.5,18.75,0.375,0,0
Cedarville,EC6,Control,23.5,29.5,23,0,0,0,21,2,17.75,0,0,0,30,7.5,25,0,0,0
Cedarville,EC8,Control,70.75,37.25,70.25,0,0,14.25,48,11.25,38.75,0.125,0.125,1.125,55,22.25,30,0,0,0.125
Cedarville,EL11,Mow,56.25,28.25,50,0,0.125,0,50.75,12.75,3.375,0,0.125,0,21.25,15.25,4.75,0,0.125,0
Cedarville,EL2,Mow,34.5,29.25,0,0,0.25,6.25,85,17.25,0,0.25,0.375,2,23.75,14.75,0,0.25,0,0.25
Cedarville,EL9,Mow,63.25,24.5,53.25,0,0,10.5,90,13.25,9.375,0,0,0,27.5,11.25,14.25,0,0.5,0.5
Munuscong,EA1,Above,41.25,35.25,27.5,0.25,0.25,0.75,70,15,9.75,0.125,0.25,0.5,91.25,12.5,25.5,0,0.25,4.5
Munuscong,EA11,Above,21.25,42.25,11.5,0,0,0,7.75,26,2.25,1.125,0.375,0,90,30.75,4,0,0.5,2.5
Munuscong,EA4,Above,33.75,42,24.25,0,0.625,17.5,20,12.25,0,0.5,0,0,60,20.75,0,0,0,0
Munuscong,EB10,Below,42.5,34.5,29.5,0,0,2,76,23.75,0.5,3.125,0.25,4.75,94,25.5,0.75,0,0.25,3.5
Munuscong,EB6,Below,35,39.75,18.75,0.75,0,1.5,96.75,34.25,0.25,0.5,0.25,0.5,94.75,33,2.75,0,0,0.25
Munuscong,EB8,Below,21.25,35.75,20,0.25,0,0,31.25,27.75,0.25,8.5,0.5,5.5,86.25,30.75,1.25,0,0.625,1.5
Munuscong,EC3,Control,45,46.5,37.5,1,0,0,46.25,25.75,29.75,0,0.125,0,69.5,25.5,40,0,0,0
Munuscong,EC5,Control,51.25,53.75,27.5,0.25,0,1.25,70,25,25,0,0,0,78.75,25.5,47.5,0,0,0
Munuscong,EC7,Control,42.5,50.75,22.5,0.25,0,21.25,88.25,18.5,56.25,0,0,0,87,25.75,57.5,0,0,0
Munuscong,EL12,Mow,48.75,41.75,31.25,3,0,0.5,42.5,30,0.125,0,0.125,0,85,33.25,1.5,0,0.5,2.75
Munuscong,EL2,Mow,53.75,47.25,32.5,0,0,0,75.5,28,0.5,0.125,0,0,75,28,2.75,0,0,2.25
Munuscong,EL9,Mow,67.5,45.5,33.75,0.5,0,0,11.875,24.75,0.5,0,0.25,0.25,67.5,30.75,1.75,0,0,0.625
